phy.species,depth_cat,habitat3,benthic,sociality.3,sociality.bin,depth.max,depth.min,depth.range,depth.mean,lat.range,lat.max,lat.min,lifespan.max,lifespan.min,matage.max,matage.min,defense.repertoire,foraging.repertoire,cog2,diet.breadth,predator.breadth,WoS,articles.read,CNS.1,ML.1,lifespan.mean,matage.mean,pos.latmean,eq.dist
Abdopus_aculeatus,1,2,1,2,0,10,0.00000001,10,5,0.5,-23,-23.5,365.3,365.3,NA,NA,6,5,3,NA,NA,1,2,178.5,45,365.3,NA,66.75,23.25
Abralia_veranyi,2,0,0,1,0,732,0.00000001,732,366,44,38,-6,NA,NA,NA,NA,2,NA,1,3,3,36,19,77.76,50,NA,NA,106,16
Abraliopsis_morisii,2,0,0,1,0,650,50,600,350,51,51,0,154,86,127,100,1,NA,NA,5,1,16,11,53.946,42,120,113.5,115.5,25.5
Alloteuthis_media,1,1,1,1,0,674,0.00000001,674,337,39,60,21,547.9,182.6,NA,NA,NA,NA,NA,5,4,35,25,184.46,70,365.25,NA,130.5,40.5
Alloteuthis_subulata,1,1,1,3,1,500,8,492,254,40,60,20,730.5,172,180,90,4,2,5,2,4,104,80,74.052,40,451.25,135,130,40
Amphitretus_pelagicus,4,0,0,1,0,2000,100,1900,1050,72,42,-30,NA,NA,NA,NA,2,1,1,NA,NA,7,2,9.4,32,NA,NA,96,6
Ancistroteuthis_lichtensteinii,4,0,0,1,0,1271,0.00000001,1271,635.5,115,60,-55,NA,NA,NA,NA,NA,NA,NA,2,3,19,12,189.224,160,NA,NA,92.5,2.5
Architeuthis_dux,4,0,0,1,0,900,200,700,550,120,70,-50,5113.5,365.3,422,294,NA,3,1,5,4,51,33,1766.6,1570,2739.4,358,100,10
Argonauta_argo,1,0,0,2,0,1500,0.00000001,1500,750,90,45,-45,NA,NA,NA,NA,5,3,2,3,5,103,45,121.66,50,NA,NA,90,0.00000001
Bathothauma_lyromma,3,0,0,1,0,2000,200,1800,1100,85,45,-40,NA,NA,NA,NA,NA,NA,NA,NA,1,7,5,46.4,165,NA,NA,92.5,2.5
Bathypolypus_bairdii,4,2,1,1,0,1545,20,1525,782.5,5,50,45,1095.8,1095.8,NA,NA,NA,2,1,NA,NA,6,6,193,89,1095.8,NA,137.5,47.5
Bathypolypus_sponsalis,4,2,1,1,0,1835,170,1665,1002.5,30,45,15,1461,365.3,517.4,121.8,NA,NA,NA,4,2,20,10,78.376,45,913.15,319.6,120,30
Bathyteuthis_abyssicola,4,0,0,1,0,4200,500,3700,2350,130,50,-80,NA,NA,NA,NA,NA,NA,1,NA,1,16,13,7,30,NA,NA,75,15
Bolitaena_pygmaea,3,0,0,1,0,1600,0.00000001,1600,800,88,45,-43,NA,NA,NA,NA,NA,NA,2,NA,2,2,2,28.8,75,NA,NA,91,1
Callistoctopus_macropus,1,2,1,1,0,242,10,232,126,32,45,13,NA,NA,NA,NA,5,2,1,1,1,63,21,116.4,NA,NA,NA,119,29
Chiroteuthis_veranii,4,0,0,3,1,978,332,646,655,130,65,-65,NA,NA,NA,NA,1,1,NA,3,5,29,19,50.2,68,NA,NA,90,0.00000001
Chtenopteryx_sicula,2,0,0,1,0,1200,150,1050,675,95,55,-40,NA,NA,NA,NA,NA,NA,NA,1,1,12,12,24.2,36,NA,NA,97.5,7.5
Cirroteuthis_muelleri,4,2,1,1,0,4854,500,4354,2677,31,83,52,NA,NA,NA,NA,NA,3,1,NA,1,8,7,12,75,NA,NA,157.5,67.5
Cirrothauma_murrayi,4,1,1,1,0,4850,1000,3850,2925,61,85,24,NA,NA,NA,NA,2,NA,NA,NA,NA,9,7,8.2,155,NA,NA,144.5,54.5
Cranchia_scabra,3,0,0,1,0,2000,0.00000001,2000,1000,81,44,-37,365.3,365.3,NA,NA,2,NA,NA,NA,3,19,14,138.8,125,365.3,NA,93.5,3.5
Discoteuthis_laciniosa,2,0,0,1,0,1000,100,900,550,19,33,14,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,97.6,51,NA,NA,113.5,23.5
Egea_inermis,3,0,0,1,0,2000,300,1700,1150,77,42,-35,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,53.2,198,NA,NA,93.5,3.5
Eledone_cirrhosa,1,2,1,2,0,800,5,795,402.5,42,70,28,1095.8,426.1,700.1,167,2,6,2,6,5,230,182,394.68,110,760.95,433.55,139,49
Eledone_moschata,1,2,1,2,0,612,0.00000001,612,306,18,46,28,730.5,456.6,700.1,273.9,2,4,4,6,5,220,73,276.336,107,593.55,487,127,37
Enteroctopus_dofleini,1,2,1,1,0,1500,0.00000001,1500,750,36,66,30,1826.3,1095.8,1095.8,730.5,6,7,12,8,4,205,115,1338.8,NA,1461.05,913.15,138,48
Galiteuthis_armata,3,0,0,1,0,2500,500,2000,1500,26,-44,-70,NA,NA,NA,NA,NA,NA,NA,2,4,24,29,96.4,297,NA,NA,33,57
Gonatus_fabricii,3,0,0,3,1,3000,160,2840,1580,38,80,42,1095.8,365.3,1095.8,730.5,NA,NA,2,6,5,87,56,101.4,110,730.55,913.15,151,61
Grimalditeuthis_bonplandi,4,0,0,1,0,2046,600,1446,1323,85,45,-40,NA,NA,NA,NA,1,1,NA,3,3,5,5,27.8,67,NA,NA,92.5,2.5
Haliphron_atlanticus,3,1,1,1,0,6787,0.00000001,6787,3393.5,128,83,-45,NA,NA,NA,NA,2,2,2,3,4,38,27,160.2,NA,NA,NA,109,19
Hapalochlaena_fasciata,1,2,1,1,0,20,0.00000001,20,10,13,-24,-37,NA,NA,121.8,121.8,4,1,1,2,NA,10,11,54.9,36,NA,121.8,59.5,30.5
Helicocranchia_pfefferi,3,0,0,1,0,2000,2000,0.00000001,2000,25,35,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7.2,NA,NA,NA,112.5,22.5
Heteroteuthis_dispar,2,1,1,3,1,800,100,700,450,51,52,1,730.5,730.5,365.3,365.3,2,NA,NA,NA,5,36,26,42.642,20,730.5,365.3,116.5,26.5
Histioteuthis_miranda,4,1,1,1,0,1200,300,900,750,52,12,-40,730.5,730.5,NA,NA,NA,NA,NA,1,3,6,7,131.6,60,730.5,NA,76,14
Illex_coindetii,2,1,1,1,0,1100,0.00000001,1100,550,80,60,-20,547.875,182.625,285,120,NA,NA,1,4,4,143,161,447.888,164,365.25,202.5,110,20
Illex_illecebrosus,2,1,1,3,1,2510,18,2492,1264,41,66,25,365.3,115,92,88,5,7,5,5,4,251,160,198.4,162,240.15,90,135.5,45.5
Japetella_diaphana,3,0,0,1,0,2500,600,1900,1550,100,60,-40,NA,NA,NA,NA,1,NA,2,4,4,14,13,5.2,25,NA,NA,100,10
Joubiniteuthis_portieri,4,0,0,1,0,4000,0.00000001,4000,2000,70,40,-30,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,7,36,NA,NA,95,5
Leachia_atlantica,3,0,0,1,0,1879,200,1679,1039.5,83,45,-38,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,17.8,132,NA,NA,93.5,3.5
Loligo_forbesii,1,1,1,3,1,1000,5,995,502.5,43,63,20,NA,NA,570,249,NA,2,3,7,5,298,214,283.6,50,NA,409.5,131.5,41.5
Loligo_vulgaris,1,1,1,3,1,545,2,543,273.5,77,57,-20,1461,273.9,480,250,5,6,5,5,5,518,413,703.984,245,867.45,365,108.5,18.5
Lolliguncula_brevis,1,2,1,3,1,26.5,0.00000001,26.5,13.25,73,45,-28,365.3,48,200,200,6,5,6,4,4,115,110,30.8,75,206.65,200,98.5,8.5
Lycoteuthis_lorigera,2,0,0,1,0,1388,366,1022,877,40,-15,-55,386,131,334.8,299,NA,NA,NA,2,4,21,10,189.8,80,258.5,316.9,55,35
Macrotritopus_defilippi,1,2,1,1,0,1500,0.00000001,1500,750,38,68,30,1095.8,730.5,NA,NA,6,4,1,2,1,26,14,124.032,40,913.15,NA,139,49
Mastigoteuthis_agassizii,4,0,0,1,0,2250,500,1750,1375,110,60,-50,NA,NA,NA,NA,NA,1,NA,NA,1,3,3,28.6,60,NA,NA,95,5
Megalocranchia_oceanica,3,0,0,1,0,2000,100,1900,1050,106,53,-53,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,198.4,335,NA,NA,90,0.00000001
Neorossia_caroli,4,2,1,1,0,1744,40,1704,892,120,65,-55,730.5,365.3,NA,NA,NA,NA,NA,NA,2,19,16,21.4,60,547.9,NA,95,5
Neoteuthis_thielei,4,0,0,1,0,2000,448,1552,1224,125,70,-55,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,18,23,NA,NA,97.5,7.5
Octopoteuthis_danae,4,0,0,1,0,1000,0.00000001,1000,500,36,32,-4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,139.6,70,NA,NA,104,14
Octopus_bimaculatus,1,2,1,2,0,212,0.00000001,212,106,16,35,19,730.5,365.3,517.4,365.25,4,5,10,5,1,59,45,106.8,NA,547.9,441.325,117,27
Octopus_salutii,1,2,1,1,0,22,0.00000001,22,11,15,50,35,730.5,547.9,NA,NA,NA,NA,NA,3,1,18,13,229.06,84,639.2,NA,132.5,42.5
Octopus_vulgaris,1,2,1,1,0,800,25,775,412.5,90,53,-37,1461,60.9,1461,60.9,11,8,23,8,5,1561,1253,538.572,155,760.95,760.95,98,8
Ocythoe_tuberculata,1,0,0,1,0,317,0.00000001,317,158.5,122,62,-60,182.6,182.6,NA,NA,2,NA,1,4,6,31,18,264,NA,182.6,NA,91,1
Onychoteuthis_banksii,4,0,0,3,1,200,0.00000001,200,100,40,62,22,365.3,365.3,365.3,200,3,NA,NA,4,4,34,27,40.11,39,365.3,282.65,132,42
Pickfordiateuthis_pulchella,1,2,1,3,1,4000,0.00000001,4000,2000,52,28,-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,9.2,21,NA,NA,92,2
Pteroctopus_tetracirrhus,3,2,1,1,0,20,0.00000001,20,10,49,45,-4,1095.8,365.3,730.5,547.9,NA,NA,NA,NA,2,22,15,283.528,92,730.55,639.2,110.5,20.5
Pterygioteuthis_giardi,2,0,0,1,0,1097,25,1072,561,95,45,-50,NA,NA,NA,NA,2,1,NA,NA,3,14,9,5.6,23,NA,NA,87.5,2.5
Pyroteuthis_margaritifera,2,0,0,1,0,2200,0.00000001,2200,1100,130,70,-60,NA,NA,NA,NA,2,NA,NA,3,2,17,10,48.888,40,NA,NA,95,5
Rossia_macrosoma,4,2,1,2,0,1500,0.00000001,1500,750,58,70,12,365.3,365.3,334.81294,213.06278,NA,NA,NA,3,4,52,26,192.808,77,365.3,273.93786,131,41
Sandalops_melancholicus,3,0,0,1,0,900,32,868,466,86,44,-42,NA,NA,NA,NA,NA,NA,NA,NA,1,7,6,34.2,112,NA,NA,91,1
Scaeurgus_unicirrhus,4,2,1,1,0,2000,0.00000001,2000,1000,74,45,-29,730.5,730.5,365.3,365.3,NA,NA,1,3,1,34,27,138.6,NA,730.5,365.3,98,8
Sepia_bandensis,1,2,1,2,0,800,30,770,415,30,19,-11,273.9,273.9,121.75,121.8,3,2,3,1,NA,6,8,312.1,60,273.9,121.775,94,4
Sepia_elegans,1,2,1,1,0,10,0.00000001,10,5,81,60,-21,578.3125,365.25,365.25,365.25,NA,NA,1,4,4,79,40,128.7,55,471.78125,365.25,109.5,19.5
Sepia_officinalis,1,2,1,1,0,600,20,580,310,46,62,16,1095.8,334.8,730.5,304.4,10,10,23,7,4,1392,922,433.236,185,715.3,517.45,129,39
Sepia_orbignyana,1,2,1,1,0,242,0.00000001,242,121,72,55,-17,547.875,365.25,304.375,182.625,NA,1,NA,6,3,56,22,245.344,80,456.5625,243.5,109,19
Sepia_plangon,1,2,1,2,0,550,15,535,282.5,24,-10,-34,304.375,304.375,NA,NA,2,NA,8,1,NA,9,9,872.5,107,304.375,NA,68,22
Sepietta_oweniana,1,2,1,2,0,83,1,82,42,59,71,12,273.9,182.6,182.625,121.7,3,1,2,6,5,50,33,72.168,33,228.25,913.1,131.5,41.5
Sepiola_affinis,1,2,1,2,0,1000,8,992,504,10,45,35,NA,NA,NA,NA,3,2,3,NA,NA,14,16,66.906,30,NA,NA,130,40
Sepiola_robusta,1,2,1,1,0,178,15,163,96.5,15,45,30,273.9375,182.625,NA,NA,3,1,1,1,NA,17,16,47.104,24,228.28125,NA,127.5,37.5
Sepiola_rondeletii,1,2,1,1,0,498,26,472,262,51,63,12,547.9,547.9,NA,NA,2,NA,NA,2,NA,34,13,58.89,27,547.9,NA,127.5,37.5
Sepioteuthis_lessoniana,1,1,1,3,1,100,0.00000001,100,50,99,52,-47,365.25,182.625,140,110,2,2,9,3,1,220,112,582.38,113,273.9375,125,92.5,2.5
Sepioteuthis_sepioidea,1,1,1,3,1,20,0.00000001,20,10,41,28,-13,487,365.3,182.6,182.6,11,6,8,2,1,74,58,261.2,150,426.15,182.6,97.5,7.5
Spirula_spirula,4,0,0,3,1,1000,100,900,550,95,53,-42,608.8,365.3,456.6,365.3,2,NA,NA,3,3,69,59,22.6,21,487.05,410.95,95.5,5.5
Taonius_pavo,3,0,0,1,0,2000,700,1300,1350,85,45,-40,NA,NA,NA,NA,1,NA,NA,NA,4,28,25,228.4,540,NA,NA,92.5,2.5
Teuthowenia_megalops,3,0,0,1,0,2700,40,2660,1370,43,74,31,1095.8,730.5,NA,NA,3,NA,NA,NA,4,18,15,260.8,265,913.15,NA,142.5,52.5
Todarodes_sagittatus,2,1,1,3,1,4595,0.00000001,4595,2297.5,90,77,-13,426.125,365,262,170,NA,NA,NA,4,4,149,90,780.624,290,395.5625,216,122,32
Todaropsis_eblanae,2,2,1,1,0,848,20,828,434,101,61,-40,365.25,213.0625,NA,NA,NA,NA,NA,4,5,92,63,481.954,148,289.15625,NA,100.5,10.5
Tremoctopus_violaceus,1,0,0,1,0,250,0.00000001,250,125,76,40,-36,730.5,730.5,NA,NA,4,2,2,4,3,56,23,332.008,71,730.5,NA,92,2
Vampyroteuthis_infernalis,4,0,0,1,0,3300,200,3100,1750,96,61,-35,2922,1095.8,NA,NA,5,2,NA,5,2,58,37,47,45,2008.9,NA,103,13
Vitreledonella_richardi,4,0,0,1,0,2005,50,1955,1027.5,130,70,-60,NA,NA,NA,NA,2,NA,1,NA,NA,6,3,16.6,66,NA,NA,95,5