phy.species,depth_cat2,depth_cat,habitat3,benthic,benthic_alt,sociality.3,sociality.bin,depth.max,depth.min,depth.range,lat.range,lifespan.max,lifespan.min,matage.max,matage.min,defense.repertoire,foraging.repertoire,cog2,diet.breadth,predator.breadth,WoS,articles.read,CNS.1,ML.1,pos.latmax,pos.latmin,depth.mean,lifespan.mean,matage.mean,pos.latmean,CNS.2,CNS.3,ML.2,ML.3,CNS.23,ML.23
Abdopus_aculeatus,1,1,2,1,1,2,0,-3.382,-0.971,-3.383,-5.402,-0.794,0.16,NA,NA,1.152,0.933,0.203,NA,NA,-1.996,-1.485,0.504,-0.617,-3.2,0.032,-3.339,-0.512,NA,-1.797,0.066,0.805,-0.333,0.032,0.4355,-0.1505
Abraliopsis_morisii,2,2,0,0,0,1,0,-0.285,0.727,-0.319,-0.019,-2.033,-1.882,-1.437,-1.189,-1.666,NA,NA,0.757,-1.54,-0.257,-0.325,-0.372,-0.699,0.16,0.619,-0.257,-2.281,-1.551,0.453,-1.075,-0.216,-0.656,-0.293,-0.6455,-0.4745
Alloteuthis_media,1,1,1,1,0,1,0,-0.044,-0.197,-0.019,-0.331,-0.212,-0.819,NA,NA,NA,NA,NA,0.757,0.701,0.234,0.233,0.528,-0.088,0.439,1.026,-0.067,-0.513,NA,0.954,0.181,NA,0.229,NA,0.181,0.229
Alloteuthis_subulata,1,1,1,1,0,3,1,-0.48,-0.022,-0.467,-0.302,0.2,-0.903,-0.945,-1.358,0.515,-0.317,0.742,-0.828,0.701,0.918,1.024,-0.14,-0.758,0.439,1.009,-0.495,-0.177,-1.282,0.939,-1.119,NA,-0.656,NA,-1.119,-0.656
Amphitretus_pelagicus,3,4,0,0,0,1,0,0.549,1.023,0.544,0.382,NA,NA,NA,NA,-0.575,-1.263,-0.957,NA,NA,-0.775,-1.485,-1.649,-1.025,-0.138,-0.168,0.557,NA,NA,-0.306,NA,NA,NA,NA,NA,NA
Architeuthis_dux,3,4,0,0,0,1,0,0.035,1.318,0.064,0.977,2.992,0.16,0.257,0.539,NA,0.236,-0.957,0.757,0.701,0.471,0.422,2.18,3.635,0.731,-0.955,0.007,2.688,0.23,-0.138,NA,NA,NA,NA,NA,NA
Argonauta_argo,1,1,0,0,0,2,0,-0.453,-0.971,-0.429,0.642,NA,NA,NA,NA,0.866,0.236,-0.225,-0.127,1.061,0.912,0.633,0.223,-0.49,-0.036,-0.726,-0.48,NA,NA,-0.57,-0.287,-0.415,-0.291,NA,-0.351,-0.291
Bathothauma_lyromma,3,3,0,0,0,1,0,0.549,1.32,0.503,0.575,NA,NA,NA,NA,NA,NA,NA,NA,-1.54,-0.775,-0.862,-0.482,0.939,-0.036,-0.522,0.592,NA,NA,-0.458,NA,NA,NA,NA,NA,NA
Bathypolypus_bairdii,3,4,2,1,1,1,0,0.357,0.344,0.379,-2.722,0.782,1.711,NA,NA,NA,-0.317,-0.957,NA,NA,-0.872,-0.738,0.561,0.2,0.128,1.406,0.339,1.233,NA,1.169,NA,NA,NA,NA,NA,NA
Bathypolypus_sponsalis,3,4,2,1,1,1,0,0.485,1.25,0.445,-0.637,1.195,0.16,0.544,-0.873,NA,NA,NA,0.371,-0.42,-0.117,-0.39,-0.098,-0.617,-0.036,0.918,0.523,0.943,0.054,0.61,-0.857,-0.322,-0.762,-0.636,-0.5895,-0.699
Bathyteuthis_abyssicola,3,4,0,0,0,1,0,1.099,1.023,1.12,1.07,NA,NA,NA,NA,NA,NA,-0.957,NA,-1.54,-0.257,-0.212,-1.865,-1.102,0.128,-3.645,1.089,NA,NA,-1.319,NA,NA,NA,NA,NA,NA
Bolitaena_pygmaea,3,3,0,0,0,1,0,0.383,-0.971,0.415,0.616,NA,NA,NA,NA,NA,NA,-0.225,NA,-0.42,-1.561,-1.485,-0.831,-0.005,-0.036,-0.642,0.355,NA,NA,-0.525,NA,NA,NA,NA,NA,NA
Callistoctopus_macropus,1,1,2,1,1,1,0,-1.018,0.065,-1.03,-0.562,NA,NA,NA,NA,0.866,-0.317,-0.957,-2.028,-1.54,0.603,0.114,0.191,NA,-0.036,0.881,-1.013,NA,NA,0.576,NA,NA,NA,NA,NA,NA
Chiroteuthis_veranii,3,4,0,0,0,3,1,0.018,1.538,-0.263,1.07,NA,NA,NA,NA,-1.666,-1.263,NA,-0.127,1.061,0.116,0.046,-0.424,-0.122,0.587,-1.867,0.207,NA,NA,-0.57,NA,NA,NA,NA,NA,NA
Chtenopteryx_sicula,2,2,0,0,0,1,0,0.17,-0.971,0.2,0.705,NA,NA,NA,NA,NA,NA,NA,-2.028,-1.54,-0.437,-0.266,-0.958,-0.884,0.286,-0.522,0.142,NA,NA,-0.242,NA,NA,NA,NA,NA,NA
Cirroteuthis_muelleri,3,4,2,1,1,1,0,1.207,1.714,1.165,-0.599,NA,NA,NA,NA,NA,0.236,-0.957,NA,-1.54,-0.692,-0.633,-1.471,-0.005,1.084,1.504,1.251,NA,NA,1.726,NA,NA,NA,NA,NA,NA
Cirrothauma_murrayi,3,4,1,1,0,1,0,1.206,2.014,1.072,0.189,NA,NA,NA,NA,-0.575,NA,NA,NA,NA,-0.618,-0.633,-1.749,0.864,1.136,1.078,1.317,NA,NA,1.372,NA,NA,NA,NA,NA,NA
Cranchia_scabra,3,3,0,0,0,1,0,0.549,-0.971,0.582,0.519,-0.794,0.16,NA,NA,-0.575,NA,NA,NA,0.236,-0.149,-0.161,0.32,0.606,-0.07,-0.409,0.521,-0.512,NA,-0.414,NA,NA,NA,NA,NA,NA
Discoteuthis_laciniosa,2,2,0,0,0,1,0,0.035,-0.971,0.064,-1.168,NA,NA,NA,NA,NA,NA,NA,NA,-1.54,-1.996,-1.956,0.062,-0.467,-0.457,0.9,0.007,NA,NA,0.382,NA,NA,NA,NA,NA,NA
Egea_inermis,3,3,0,0,0,1,0,0.549,0.577,0.569,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.986,-1.013,-0.382,1.157,-0.138,-0.337,0.534,NA,NA,-0.414,NA,NA,NA,NA,NA,NA
Eledone_cirrhosa,1,1,2,1,1,2,0,-0.131,-0.197,-0.108,-0.245,0.782,0.378,0.971,-0.367,-0.575,1.181,-0.225,1.073,1.061,1.416,1.583,1.084,0.453,0.731,1.145,-0.154,0.653,0.527,1.213,0.577,NA,0.527,NA,0.577,0.527
Eledone_moschata,1,1,2,1,1,2,0,-0.33,-0.971,-0.304,-1.231,0.2,0.475,0.971,0.425,-0.575,0.628,0.506,1.073,1.061,1.388,0.962,0.823,0.42,-0.003,1.145,-0.357,0.259,0.707,0.843,0.33,0.118,0.527,NA,0.224,0.527
Enteroctopus_dofleini,1,1,2,1,1,1,0,0.335,-0.971,0.367,-0.425,1.515,1.711,1.603,1.997,1.152,1.392,1.665,1.57,0.701,1.343,1.271,1.977,NA,0.617,1.178,0.308,1.69,1.681,1.184,NA,NA,NA,NA,NA,NA
Galiteuthis_armata,3,3,0,0,0,1,0,0.714,0.9,0.727,-0.803,NA,NA,NA,NA,NA,NA,NA,-0.828,0.701,-0.002,0.334,0.053,1.642,-4.898,-2.3,0.708,NA,NA,-4.688,NA,NA,NA,NA,NA,NA
Gonatus_fabricii,3,3,0,0,0,3,1,0.85,0.927,0.866,-0.362,0.782,0.16,1.603,1.997,NA,NA,-0.225,1.073,1.061,0.806,0.781,0.09,0.453,1.005,1.363,0.841,0.589,1.681,1.553,NA,NA,NA,NA,NA,NA
Grimalditeuthis_bonplandi,3,4,0,0,0,1,0,0.566,-0.971,0.599,0.575,NA,NA,NA,NA,-1.666,-1.263,NA,-0.127,0.236,-0.986,-0.862,-0.856,-0.14,-0.036,-0.522,0.538,NA,NA,-0.458,NA,NA,NA,NA,NA,NA
Haliphron_atlanticus,3,3,1,1,0,1,0,1.455,-0.971,1.497,1.052,NA,NA,NA,NA,-0.575,-0.317,-0.225,-0.127,0.701,0.286,0.285,0.424,NA,1.084,-0.726,1.427,NA,NA,0.216,NA,NA,NA,NA,NA,NA
Hapalochlaena_fasciata,1,1,2,1,1,1,0,-2.868,-0.971,-2.864,-1.61,NA,NA,-1.496,-0.873,0.515,-1.263,-0.957,-0.828,NA,-0.552,-0.325,-0.359,-0.884,-3.268,-0.409,-2.86,NA,-1.441,-2.269,-0.908,NA,-0.874,NA,-0.908,-0.874
Helicocranchia_pfefferi,3,3,0,0,0,1,0,0.549,1.023,0.544,-0.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.996,-1.956,-1.844,NA,-0.384,0.824,0.557,NA,NA,0.345,NA,NA,NA,NA,NA,NA
Heteroteuthis_dispar,2,2,1,1,0,3,1,1.117,1.023,1.138,-0.019,0.2,1.138,0.053,0.887,-0.575,NA,NA,NA,1.061,0.252,0.26,-0.544,-1.587,0.192,0.641,1.106,0.588,0.261,0.489,-1.495,-1.419,-1.789,-1.946,-1.457,-1.8675
Histioteuthis_miranda,3,4,1,1,0,1,0,0.17,1.494,-0.015,0.003,0.2,1.138,NA,NA,NA,NA,NA,-2.028,0.236,-0.872,-0.633,0.281,-0.272,-1.302,-0.522,0.308,0.588,NA,-1.264,NA,NA,NA,NA,NA,NA
Illex_illecebrosus,2,2,1,1,0,3,1,1.198,0.301,1.235,-0.273,-0.794,-1.471,-1.892,-1.394,0.866,1.392,0.742,0.757,0.701,1.47,1.496,0.581,0.917,0.617,1.095,1.173,-1.179,-1.91,1.109,NA,NA,NA,NA,NA,NA
Japetella_diaphana,3,3,0,0,0,1,0,0.714,-0.971,0.749,0.764,NA,NA,NA,NA,-1.666,NA,-0.225,0.371,0.701,-0.34,-0.212,-2.082,-1.32,0.439,-0.522,0.686,NA,NA,-0.138,NA,NA,NA,NA,NA,NA
Joubiniteuthis_portieri,3,4,0,0,0,1,0,0.964,1.494,0.934,0.349,NA,NA,NA,NA,NA,NA,NA,NA,0.236,-1.126,-0.862,-1.865,-0.884,-0.207,-0.168,0.997,NA,NA,-0.349,NA,NA,NA,NA,NA,NA
Leachia_atlantica,3,3,0,0,0,1,0,0.502,1.32,0.451,0.548,NA,NA,NA,NA,NA,NA,NA,NA,-0.42,-1.126,-1.013,-1.182,0.672,-0.036,-0.446,0.55,NA,NA,-0.414,NA,NA,NA,NA,NA,NA
Loligo_forbesii,1,1,1,1,0,3,1,0.035,-0.197,0.06,-0.218,NA,NA,0.681,0.273,NA,-0.317,0.203,1.339,1.061,1.578,1.693,0.842,-0.49,0.529,1.009,0.011,NA,0.438,0.986,1.551,NA,2.035,NA,1.551,2.035
Loligo_vulgaris,1,1,1,1,0,3,1,-0.344,-0.497,-0.321,0.46,1.195,-0.246,0.439,0.279,0.866,1.181,0.742,0.757,1.061,1.925,2.14,1.507,1.412,0.348,0.131,-0.369,0.861,0.26,0.197,NA,NA,NA,NA,NA,NA
Lolliguncula_brevis,1,1,2,1,1,3,1,-0.469,-0.971,-0.445,0.398,-0.794,-2.705,-0.796,-0.078,1.152,0.933,0.934,0.371,0.701,0.981,1.241,-0.781,-0.005,-0.036,-0.104,-0.496,-1.417,-0.673,-0.2,NA,NA,NA,NA,NA,NA
Lycoteuthis_lorigera,2,2,0,0,0,1,0,0.278,1.578,0.284,-0.302,-0.715,-1.287,-0.07,0.566,NA,NA,NA,-0.828,0.701,-0.086,-0.39,0.548,0.072,-2.691,-1.214,0.274,-1.062,0.041,-2.591,-0.418,-0.365,-1.06,NA,-0.3915,-1.06
Macrotritopus_defilippi,1,1,2,1,1,1,0,0.335,-0.971,0.367,-0.362,0.782,1.138,NA,NA,1.152,0.628,-0.957,-0.828,-1.54,0.048,-0.161,0.237,-0.758,0.674,1.178,0.308,0.943,NA,1.213,NA,NA,NA,NA,NA,NA
Mastigoteuthis_agassizii,3,4,0,0,0,1,0,0.636,1.714,0.482,0.875,NA,NA,NA,NA,NA,-1.263,NA,NA,-1.54,-1.307,-1.209,-0.836,-0.272,0.439,-0.955,0.757,NA,NA,-0.349,NA,NA,NA,NA,NA,NA
Megalocranchia_oceanica,3,3,0,0,0,1,0,0.549,1.023,0.544,0.832,NA,NA,NA,NA,NA,NA,NA,NA,-0.42,-1.307,-1.956,0.581,1.786,0.224,-1.106,0.557,NA,NA,-0.57,NA,NA,NA,NA,NA,NA
Neorossia_caroli,3,4,2,1,1,1,0,0.447,0.633,0.462,0.977,0.2,0.16,NA,NA,NA,NA,NA,NA,-0.42,-0.149,-0.071,-1.048,-0.272,0.587,-1.214,0.436,0.132,NA,-0.349,NA,NA,NA,NA,NA,NA
Neoteuthis_thielei,3,4,0,0,0,1,0,0.549,1.667,0.393,1.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.996,-1.956,-1.174,-1.42,0.731,-1.214,0.671,NA,NA,-0.242,NA,NA,NA,NA,NA,NA
Octopoteuthis_danae,3,4,0,0,0,1,0,0.035,-0.971,0.064,-0.425,NA,NA,NA,NA,NA,NA,NA,NA,-1.54,-1.996,-1.013,0.324,-0.088,-0.494,0.531,0.007,NA,NA,0.023,NA,NA,NA,NA,NA,NA
Octopus_bimaculatus,1,1,2,1,1,2,0,-0.314,-0.971,-0.288,-1.368,0.2,0.16,0.544,0.887,0.515,0.933,1.473,0.757,-1.54,0.562,0.633,0.128,NA,-0.384,0.991,-0.341,0.132,0.554,0.506,1.804,NA,0.229,NA,1.804,0.229
Octopus_salutii,1,1,2,1,1,1,0,-0.131,0.436,-0.127,-1.444,0.2,0.732,NA,NA,NA,NA,NA,-0.127,-1.54,-0.183,-0.212,0.686,0.131,0.128,1.257,-0.135,0.376,NA,1.017,0.56,1.071,NA,0.888,0.8155,0.888
Octopus_vulgaris,1,1,2,1,1,1,0,0.876,-0.971,0.913,0.642,1.195,-2.369,2.009,-1.984,2.106,1.574,2.352,1.57,1.061,2.617,2.895,1.311,0.864,0.224,-0.409,0.848,0.653,1.399,-0.221,0.851,1.175,0.842,1.219,1.013,1.0305
Ocythoe_tuberculata,1,1,0,0,0,1,0,-1.159,-0.971,-1.141,0.996,-1.788,-0.819,NA,NA,-0.575,NA,-0.957,0.371,1.356,0.158,0.01,0.79,NA,0.499,-1.513,-1.184,-1.614,NA,-0.525,-0.113,0.567,-0.136,0.191,0.227,0.0275
Onychoteuthis_banksii,3,4,0,0,0,3,1,1.063,-0.971,1.101,-0.302,-0.794,0.16,0.053,-0.078,0.062,NA,NA,0.371,0.701,0.216,0.285,-0.588,-0.788,0.499,1.044,1.035,-0.512,-0.136,1.001,-1.18,-1.194,-0.464,0.96,-1.187,0.248
Pickfordiateuthis_pulchella,1,1,2,1,1,3,1,-2.868,-0.971,-2.864,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.618,-0.862,-1.665,-1.529,-0.644,0.017,-2.86,NA,NA,-0.48,NA,NA,NA,NA,NA,NA
Pteroctopus_tetracirrhus,3,3,2,1,1,1,0,0.103,1.318,0.116,-0.066,0.782,0.16,1.031,1.536,NA,NA,NA,NA,-0.42,-0.057,-0.114,0.842,0.239,-0.036,0.531,0.092,0.589,1.128,0.272,0.746,-0.883,0.623,NA,-0.0685,0.623
Pterygioteuthis_giardi,2,2,0,0,0,1,0,0.619,-0.971,0.654,0.705,NA,NA,NA,NA,-0.575,-1.263,NA,NA,0.236,-0.34,-0.462,-2.028,-1.42,-0.036,-0.955,0.592,NA,NA,-0.686,NA,NA,NA,NA,NA,NA
Pyroteuthis_margaritifera,2,2,0,0,0,1,0,0.335,-0.971,0.367,1.07,NA,NA,NA,NA,-0.575,NA,NA,-0.127,-0.42,-0.219,-0.39,-0.444,-0.758,0.731,-1.513,0.308,NA,NA,-0.349,-1.048,-0.99,-0.656,-0.701,-1.019,-0.6785
Sandalops_melancholicus,3,3,0,0,0,1,0,0.549,-0.971,0.582,0.589,NA,NA,NA,NA,NA,NA,NA,NA,-1.54,-0.775,-0.738,-0.705,0.475,-0.07,-0.601,0.521,NA,NA,-0.525,NA,NA,NA,NA,NA,NA
Scaeurgus_unicirrhus,3,4,2,1,1,1,0,-0.131,0.512,-0.132,0.414,0.2,1.138,0.053,0.887,NA,NA,-0.957,-0.127,-1.54,0.216,0.285,0.319,NA,-0.036,-0.136,-0.131,0.588,0.261,-0.221,0.221,0.736,0.425,0.47,0.4785,0.4475
Sepia_bandensis,1,1,2,1,1,2,0,-3.382,-0.971,-3.383,-0.637,-1.207,-0.246,-1.496,-0.873,0.062,-0.317,0.203,-2.028,NA,-0.872,-0.542,0.912,-0.272,-1.003,0.366,-3.339,-0.97,-1.442,-0.392,NA,NA,NA,NA,NA,NA
Sepia_officinalis,1,1,2,1,1,1,0,-1.018,-0.971,-0.998,-0.139,0.782,0.037,1.031,0.595,1.956,1.878,2.352,1.339,0.701,2.545,2.687,1.152,1.076,0.499,0.937,-1.043,0.555,0.801,0.907,1.415,1.002,0.842,1.006,1.2085,0.924
Sepietta_oweniana,1,1,2,1,1,2,0,0.035,-0.022,0.058,0.15,-1.207,-0.819,-0.924,-0.874,0.062,-1.263,-0.225,1.073,1.061,0.458,0.422,-0.159,-0.988,0.759,0.862,0.013,-1.259,1.681,0.986,-1.037,NA,-1.196,NA,-1.037,-1.196
Sepiola_rondeletii,1,1,2,1,1,1,0,-0.362,-0.971,-0.336,-0.019,-0.212,0.732,NA,NA,-0.575,NA,NA,-0.828,NA,0.216,-0.212,-0.307,-1.228,0.529,0.862,-0.389,0.132,NA,0.859,-1.26,-1.053,-1.345,-0.769,-1.1565,-1.057
Sepioteuthis_sepioidea,1,1,1,1,0,3,1,-1.674,-0.971,-1.659,-0.273,-0.381,0.16,-0.925,-0.224,2.106,1.181,1.237,-0.828,-1.54,0.704,0.805,0.782,0.825,-0.644,0.316,-1.694,-0.268,-0.814,-0.242,NA,NA,NA,NA,NA,NA
Spirula_spirula,3,4,0,0,0,3,1,0.549,1.32,0.503,0.705,-0.061,0.16,0.368,0.887,-0.575,NA,NA,-0.127,0.236,0.66,0.817,-1.008,-1.529,0.224,-0.601,0.592,-0.055,0.444,-0.327,NA,NA,NA,NA,NA,NA
Taonius_pavo,3,3,0,0,0,1,0,1.063,-0.971,1.101,0.575,NA,NA,NA,NA,-1.666,NA,NA,NA,0.701,0.094,0.233,0.684,2.358,-0.036,-0.522,1.035,NA,NA,-0.458,NA,NA,NA,NA,NA,NA
Teuthowenia_megalops,3,3,0,0,0,1,0,0.771,0.633,0.796,-0.218,0.782,1.138,NA,NA,0.062,NA,NA,NA,0.701,-0.183,-0.114,0.781,1.506,0.842,1.194,0.754,0.943,NA,1.315,NA,NA,NA,NA,NA,NA
Tremoctopus_violaceus,1,1,0,0,0,1,0,-0.994,-0.971,-0.974,0.445,0.2,1.138,NA,NA,0.515,-0.317,-0.225,0.371,0.236,0.529,0.176,0.957,-0.071,-0.207,-0.372,-1.019,0.588,NA,-0.48,0.389,-0.761,NA,-1.451,-0.186,-1.451
Vampyroteuthis_infernalis,3,4,0,0,0,1,0,0.92,1.32,0.91,0.717,2.189,1.711,NA,NA,0.866,-0.317,NA,0.757,-0.42,0.551,0.5,-0.472,-0.617,0.469,-0.337,0.936,2.195,NA,-0.017,-0.97,NA,-0.099,NA,-0.97,-0.099
Vitreledonella_richardi,3,4,0,0,0,1,0,0.551,-0.971,0.584,1.07,NA,NA,NA,NA,-0.575,NA,-0.957,NA,NA,-0.872,-1.209,-1.233,-0.158,0.731,-1.513,0.523,NA,NA,-0.349,NA,NA,NA,NA,NA,NA
Abralia_veranyi,2,2,0,0,0,1,0,0.035,-0.971,0.064,-0.191,NA,NA,NA,NA,-0.575,NA,-0.957,-0.127,0.236,0.252,0.046,-0.104,-0.49,-0.277,0.485,0.007,NA,NA,0.101,-0.518,NA,-0.212,NA,-0.518,-0.212
Rossia_macrosoma,3,4,2,1,1,2,0,-0.044,0.539,-0.042,0.13,-0.794,0.16,-0.069,0.023,NA,NA,NA,-0.127,0.701,0.483,0.26,0.56,0.026,0.731,0.862,-0.045,-0.512,-0.185,0.97,0.155,NA,0.106,NA,0.155,0.106
Todarodes_sagittatus,2,2,1,1,0,3,1,0.714,-0.971,0.749,0.642,-0.573,0.159,-0.415,-0.339,NA,NA,NA,0.371,0.701,1.143,1.104,1.583,1.614,0.924,0.316,0.686,-0.386,-0.553,0.678,1.936,NA,2.603,NA,1.936,2.603
Ancistroteuthis_lichtensteinii,3,4,0,0,0,1,0,0.212,-0.971,0.242,0.927,NA,NA,NA,NA,NA,NA,NA,-0.828,0.236,-0.149,-0.266,0.546,0.902,0.439,-1.214,0.184,NA,NA,-0.458,0.364,NA,1.173,NA,0.364,1.173
Sepiola_affinis,1,1,2,1,1,2,0,-1.246,0.344,-1.317,-1.915,NA,NA,NA,NA,0.062,-0.317,0.203,NA,NA,-0.34,-0.071,-0.214,-1.102,-0.036,1.257,-1.191,NA,NA,0.939,-1.436,NA,-1.508,NA,-1.436,-1.508
Sepiola_robusta,1,1,2,1,1,1,0,-0.483,0.453,-0.498,-1.444,-1.207,-0.818,NA,NA,0.062,-1.263,-0.957,-2.028,NA,-0.219,-0.071,-0.471,-1.369,-0.036,1.178,-0.472,-1.259,NA,0.859,-1.4,NA,-1.424,NA,-1.4,-1.424
Sepia_elegans,1,1,2,1,1,1,0,-0.344,0.344,-0.344,0.519,-0.135,0.16,0.053,0.887,NA,NA,-0.957,0.371,0.701,0.745,0.553,0.264,-0.376,0.439,0.103,-0.347,-0.106,0.261,0.234,0.037,NA,0.04,NA,0.037,0.04
Todaropsis_eblanae,2,2,2,1,1,1,0,-0.086,0.344,-0.076,0.776,-0.794,-0.601,NA,NA,NA,NA,NA,0.371,1.061,0.841,0.862,1.23,0.809,0.469,-0.522,-0.096,-0.884,NA,-0.118,1.225,NA,1.302,NA,1.225,1.302
Sepia_plangon,1,1,2,1,1,2,0,-1.812,-0.672,-1.808,-0.897,-1.055,-0.097,NA,NA,-0.575,NA,1.237,-2.028,NA,-0.618,-0.462,1.664,0.42,-2.399,-0.302,-1.822,-0.802,NA,-1.721,1.387,2.145,0.69,1.031,1.766,0.8605
Sepia_orbignyana,1,1,2,1,1,1,0,-0.159,0.227,-0.147,0.382,-0.212,0.16,-0.204,-0.224,NA,-1.263,NA,1.073,0.236,0.529,0.146,0.736,0.072,0.286,0.213,-0.172,-0.158,-0.368,0.216,0.69,NA,0.425,NA,0.69,0.425
Illex_coindetii,2,2,1,1,0,1,0,0.105,-0.971,0.135,0.505,-0.212,-0.818,-0.297,-0.897,NA,NA,-0.957,0.371,0.701,1.117,1.5,1.176,0.931,0.439,0.131,0.078,-0.513,-0.653,0.253,0.636,NA,0.842,NA,0.636,0.842
Sepioteuthis_lessoniana,1,1,1,1,0,3,1,-1.674,-0.971,-1.659,0.753,-0.794,-0.818,-1.299,-1.036,-0.575,-0.317,1.362,-0.127,-1.54,1.388,1.253,1.368,0.486,0.192,-0.814,-1.694,-0.969,-1.401,-0.458,NA,NA,NA,NA,NA,NA