phy.species,depth_cat,habitat3,benthic,sociality.3,sociality.bin,depth.max,depth.min,depth.range,depth.mean,lat.range,lifespan.max,lifespan.min,matage.max,matage.min,defense.repertoire,foraging.repertoire,cog2,diet.breadth,predator.breadth,WoS,articles.read,lifespan.mean,matage.mean,pos.latmean,eq.dist,CNS_measure,CNS_value,ML_measure,ML_value
Pickfordiateuthis_pulchella,1,2,1,3,1,1.081,-1.227,0.634,1.015,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.618,-0.862,NA,NA,-0.48,-0.264,CNS.1,-1.665,ML.1,-1.529
Pickfordiateuthis_pulchella,1,2,1,3,1,1.081,-1.227,0.634,1.015,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.618,-0.862,NA,NA,-0.48,-0.264,CNS.2,-1.227,ML.2,-0.511
Pickfordiateuthis_pulchella,1,2,1,3,1,1.081,-1.227,0.634,1.015,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.618,-0.862,NA,NA,-0.48,-0.264,CNS.3,-1.263,ML.3,0.888
Pteroctopus_tetracirrhus,3,2,1,1,0,-2.47,-1.227,-1.037,-2.457,-0.066,0.782,0.16,1.031,1.536,NA,NA,NA,NA,-0.42,-0.057,-0.114,0.589,1.128,0.272,0.291,CNS.1,0.842,ML.1,0.239
Pteroctopus_tetracirrhus,3,2,1,1,0,-2.47,-1.227,-1.037,-2.457,-0.066,0.782,0.16,1.031,1.536,NA,NA,NA,NA,-0.42,-0.057,-0.114,0.589,1.128,0.272,0.291,CNS.2,NA,ML.2,NA
Pteroctopus_tetracirrhus,3,2,1,1,0,-2.47,-1.227,-1.037,-2.457,-0.066,0.782,0.16,1.031,1.536,NA,NA,NA,NA,-0.42,-0.057,-0.114,0.589,1.128,0.272,0.291,CNS.3,NA,ML.3,NA
Pterygioteuthis_giardi,2,0,0,1,0,0.214,0.696,0.219,0.182,0.705,NA,NA,NA,NA,-0.575,-1.263,NA,NA,0.236,-0.34,-0.462,NA,NA,-0.686,-0.21,CNS.1,-2.028,ML.1,-1.42
Pterygioteuthis_giardi,2,0,0,1,0,0.214,0.696,0.219,0.182,0.705,NA,NA,NA,NA,-0.575,-1.263,NA,NA,0.236,-0.34,-0.462,NA,NA,-0.686,-0.21,CNS.2,0.717,ML.2,0.591
Pterygioteuthis_giardi,2,0,0,1,0,0.214,0.696,0.219,0.182,0.705,NA,NA,NA,NA,-0.575,-1.263,NA,NA,0.236,-0.34,-0.462,NA,NA,-0.686,-0.21,CNS.3,-0.95,ML.3,NA
Pyroteuthis_margaritifera,2,0,0,1,0,0.681,-1.227,0.445,0.624,1.07,NA,NA,NA,NA,-0.575,NA,NA,-0.127,-0.42,-0.219,-0.39,NA,NA,-0.349,-0.045,CNS.1,-0.444,ML.1,-0.758
Pyroteuthis_margaritifera,2,0,0,1,0,0.681,-1.227,0.445,0.624,1.07,NA,NA,NA,NA,-0.575,NA,NA,-0.127,-0.42,-0.219,-0.39,NA,NA,-0.349,-0.045,CNS.2,NA,ML.2,NA
Pyroteuthis_margaritifera,2,0,0,1,0,0.681,-1.227,0.445,0.624,1.07,NA,NA,NA,NA,-0.575,NA,NA,-0.127,-0.42,-0.219,-0.39,NA,NA,-0.349,-0.045,CNS.3,NA,ML.3,NA
Rossia_macrosoma,4,2,1,2,0,0.424,-1.227,0.324,0.373,0.13,-0.794,0.16,-0.069,0.023,NA,NA,NA,-0.127,0.701,0.483,0.26,-0.512,-0.185,0.97,0.456,CNS.1,0.56,ML.1,0.026
Rossia_macrosoma,4,2,1,2,0,0.424,-1.227,0.324,0.373,0.13,-0.794,0.16,-0.069,0.023,NA,NA,NA,-0.127,0.701,0.483,0.26,-0.512,-0.185,0.97,0.456,CNS.2,-1.094,ML.2,-0.706
Rossia_macrosoma,4,2,1,2,0,0.424,-1.227,0.324,0.373,0.13,-0.794,0.16,-0.069,0.023,NA,NA,NA,-0.127,0.701,0.483,0.26,-0.512,-0.185,0.97,0.456,CNS.3,-1.058,ML.3,-0.749
Sandalops_melancholicus,3,0,0,1,0,0.082,0.718,0.152,0.061,0.589,NA,NA,NA,NA,NA,NA,NA,NA,-1.54,-0.775,-0.738,NA,NA,-0.525,-0.429,CNS.1,-0.705,ML.1,0.475
Sandalops_melancholicus,3,0,0,1,0,0.082,0.718,0.152,0.061,0.589,NA,NA,NA,NA,NA,NA,NA,NA,-1.54,-0.775,-0.738,NA,NA,-0.525,-0.429,CNS.2,0.12,ML.2,0.066
Sandalops_melancholicus,3,0,0,1,0,0.082,0.718,0.152,0.061,0.589,NA,NA,NA,NA,NA,NA,NA,NA,-1.54,-0.775,-0.738,NA,NA,-0.525,-0.429,CNS.3,NA,ML.3,NA
Scaeurgus_unicirrhus,4,2,1,1,0,0.617,-1.227,0.415,0.561,0.414,0.2,1.138,0.053,0.887,NA,NA,-0.957,-0.127,-1.54,0.216,0.285,0.588,0.261,-0.221,0.067,CNS.1,0.319,ML.1,NA
Scaeurgus_unicirrhus,4,2,1,1,0,0.617,-1.227,0.415,0.561,0.414,0.2,1.138,0.053,0.887,NA,NA,-0.957,-0.127,-1.54,0.216,0.285,0.588,0.261,-0.221,0.067,CNS.2,NA,ML.2,NA
Scaeurgus_unicirrhus,4,2,1,1,0,0.617,-1.227,0.415,0.561,0.414,0.2,1.138,0.053,0.887,NA,NA,-0.957,-0.127,-1.54,0.216,0.285,0.588,0.261,-0.221,0.067,CNS.3,NA,ML.3,NA
Sepia_bandensis,1,2,1,2,0,0.003,0.712,0.114,-0.015,-0.637,-1.207,-0.246,-1.496,-0.873,0.062,-0.317,0.203,-2.028,NA,-0.872,-0.542,-0.97,-1.442,-0.392,-0.098,CNS.1,0.912,ML.1,-0.272
Sepia_bandensis,1,2,1,2,0,0.003,0.712,0.114,-0.015,-0.637,-1.207,-0.246,-1.496,-0.873,0.062,-0.317,0.203,-2.028,NA,-0.872,-0.542,-0.97,-1.442,-0.392,-0.098,CNS.2,0.186,ML.2,0.39
Sepia_bandensis,1,2,1,2,0,0.003,0.712,0.114,-0.015,-0.637,-1.207,-0.246,-1.496,-0.873,0.062,-0.317,0.203,-2.028,NA,-0.872,-0.542,-0.97,-1.442,-0.392,-0.098,CNS.3,0.678,ML.3,0.404
Sepia_elegans,1,2,1,1,0,-2.934,-1.227,-1.256,-2.911,0.519,-0.135,0.16,0.053,0.887,NA,NA,-0.957,0.371,0.701,0.745,0.553,-0.106,0.261,0.234,0.279,CNS.1,0.264,ML.1,-0.376
Sepia_elegans,1,2,1,1,0,-2.934,-1.227,-1.256,-2.911,0.519,-0.135,0.16,0.053,0.887,NA,NA,-0.957,0.371,0.701,0.745,0.553,-0.106,0.261,0.234,0.279,CNS.2,NA,ML.2,NA
Sepia_elegans,1,2,1,1,0,-2.934,-1.227,-1.256,-2.911,0.519,-0.135,0.16,0.053,0.887,NA,NA,-0.957,0.371,0.701,0.745,0.553,-0.106,0.261,0.234,0.279,CNS.3,NA,ML.3,NA
Sepia_officinalis,1,2,1,1,0,-0.19,0.676,0.025,-0.206,-0.139,0.782,0.037,1.031,0.595,1.956,1.878,2.352,1.339,0.701,2.545,2.687,0.555,0.801,0.907,0.444,CNS.1,1.152,ML.1,1.076
Sepia_officinalis,1,2,1,1,0,-0.19,0.676,0.025,-0.206,-0.139,0.782,0.037,1.031,0.595,1.956,1.878,2.352,1.339,0.701,2.545,2.687,0.555,0.801,0.907,0.444,CNS.2,0.001,ML.2,0
Sepia_officinalis,1,2,1,1,0,-0.19,0.676,0.025,-0.206,-0.139,0.782,0.037,1.031,0.595,1.956,1.878,2.352,1.339,0.701,2.545,2.687,0.555,0.801,0.907,0.444,CNS.3,NA,ML.3,NA
Sepia_orbignyana,1,2,1,1,0,-0.799,-1.227,-0.251,-0.823,0.382,-0.212,0.16,-0.204,-0.224,NA,-1.263,NA,1.073,0.236,0.529,0.146,-0.158,-0.368,0.216,0.273,CNS.1,0.736,ML.1,0.072
Sepia_orbignyana,1,2,1,1,0,-0.799,-1.227,-0.251,-0.823,0.382,-0.212,0.16,-0.204,-0.224,NA,-1.263,NA,1.073,0.236,0.529,0.146,-0.158,-0.368,0.216,0.273,CNS.2,1.392,ML.2,0.812
Sepia_orbignyana,1,2,1,1,0,-0.799,-1.227,-0.251,-0.823,0.382,-0.212,0.16,-0.204,-0.224,NA,-1.263,NA,1.073,0.236,0.529,0.146,-0.158,-0.368,0.216,0.273,CNS.3,0.945,ML.3,0.933
Sepia_plangon,1,2,1,2,0,-0.249,0.651,-0.001,-0.267,-0.897,-1.055,-0.097,NA,NA,-0.575,NA,1.237,-2.028,NA,-0.618,-0.462,-0.802,NA,-1.721,0.308,CNS.1,1.664,ML.1,0.42
Sepia_plangon,1,2,1,2,0,-0.249,0.651,-0.001,-0.267,-0.897,-1.055,-0.097,NA,NA,-0.575,NA,1.237,-2.028,NA,-0.618,-0.462,-0.802,NA,-1.721,0.308,CNS.2,0.66,ML.2,0.39
Sepia_plangon,1,2,1,2,0,-0.249,0.651,-0.001,-0.267,-0.897,-1.055,-0.097,NA,NA,-0.575,NA,1.237,-2.028,NA,-0.618,-0.462,-0.802,NA,-1.721,0.308,CNS.3,NA,ML.3,NA
Sepietta_oweniana,1,2,1,2,0,-1.516,0.41,-0.592,-1.516,0.15,-1.207,-0.819,-0.924,-0.874,0.062,-1.263,-0.225,1.073,1.061,0.458,0.422,-1.259,1.681,0.986,0.459,CNS.1,-0.159,ML.1,-0.988
Sepietta_oweniana,1,2,1,2,0,-1.516,0.41,-0.592,-1.516,0.15,-1.207,-0.819,-0.924,-0.874,0.062,-1.263,-0.225,1.073,1.061,0.458,0.422,-1.259,1.681,0.986,0.459,CNS.2,1.363,ML.2,0.658
Sepietta_oweniana,1,2,1,2,0,-1.516,0.41,-0.592,-1.516,0.15,-1.207,-0.819,-0.924,-0.874,0.062,-1.263,-0.225,1.073,1.061,0.458,0.422,-1.259,1.681,0.986,0.459,CNS.3,2.095,ML.3,0.958
Sepiola_affinis,1,2,1,2,0,0.152,0.595,0.194,0.112,-1.915,NA,NA,NA,NA,0.062,-0.317,0.203,NA,NA,-0.34,-0.071,NA,NA,0.939,0.45,CNS.1,-0.214,ML.1,-1.102
Sepiola_affinis,1,2,1,2,0,0.152,0.595,0.194,0.112,-1.915,NA,NA,NA,NA,0.062,-0.317,0.203,NA,NA,-0.34,-0.071,NA,NA,0.939,0.45,CNS.2,-1.083,ML.2,-1.254
Sepiola_affinis,1,2,1,2,0,0.152,0.595,0.194,0.112,-1.915,NA,NA,NA,NA,0.062,-0.317,0.203,NA,NA,-0.34,-0.071,NA,NA,0.939,0.45,CNS.3,NA,ML.3,NA
Sepiola_robusta,1,2,1,1,0,-1.005,0.651,-0.375,-0.971,-1.444,-1.207,-0.818,NA,NA,0.062,-1.263,-0.957,-2.028,NA,-0.219,-0.071,-1.259,NA,0.859,0.435,CNS.1,-0.471,ML.1,-1.369
Sepiola_robusta,1,2,1,1,0,-1.005,0.651,-0.375,-0.971,-1.444,-1.207,-0.818,NA,NA,0.062,-1.263,-0.957,-2.028,NA,-0.219,-0.071,-1.259,NA,0.859,0.435,CNS.2,-1.486,ML.2,-1.57
Sepiola_robusta,1,2,1,1,0,-1.005,0.651,-0.375,-0.971,-1.444,-1.207,-0.818,NA,NA,0.062,-1.263,-0.957,-2.028,NA,-0.219,-0.071,-1.259,NA,0.859,0.435,CNS.3,NA,ML.3,NA
Sepiola_rondeletii,1,2,1,1,0,-0.315,0.699,-0.04,-0.317,-0.019,-0.212,0.732,NA,NA,-0.575,NA,NA,-0.828,NA,0.216,-0.212,0.132,NA,0.859,0.435,CNS.1,-0.307,ML.1,-1.228
Sepiola_rondeletii,1,2,1,1,0,-0.315,0.699,-0.04,-0.317,-0.019,-0.212,0.732,NA,NA,-0.575,NA,NA,-0.828,NA,0.216,-0.212,0.132,NA,0.859,0.435,CNS.2,-1.449,ML.2,-1.485
Sepiola_rondeletii,1,2,1,1,0,-0.315,0.699,-0.04,-0.317,-0.019,-0.212,0.732,NA,NA,-0.575,NA,NA,-0.828,NA,0.216,-0.212,0.132,NA,0.859,0.435,CNS.3,NA,ML.3,NA
Sepioteuthis_lessoniana,1,1,1,3,1,-1.391,-1.227,-0.529,-1.402,0.753,-0.794,-0.818,-1.299,-1.036,-0.575,-0.317,1.362,-0.127,-1.54,1.388,1.253,-0.969,-1.401,-0.458,-0.21,CNS.1,1.368,ML.1,0.486
Sepioteuthis_lessoniana,1,1,1,3,1,-1.391,-1.227,-0.529,-1.402,0.753,-0.794,-0.818,-1.299,-1.036,-0.575,-0.317,1.362,-0.127,-1.54,1.388,1.253,-0.969,-1.401,-0.458,-0.21,CNS.2,NA,ML.2,NA
Sepioteuthis_lessoniana,1,1,1,3,1,-1.391,-1.227,-0.529,-1.402,0.753,-0.794,-0.818,-1.299,-1.036,-0.575,-0.317,1.362,-0.127,-1.54,1.388,1.253,-0.969,-1.401,-0.458,-0.21,CNS.3,NA,ML.3,NA
Sepioteuthis_sepioidea,1,1,1,3,1,-2.47,-1.227,-1.037,-2.457,-0.273,-0.381,0.16,-0.925,-0.224,2.106,1.181,1.237,-0.828,-1.54,0.704,0.805,-0.268,-0.814,-0.242,0.051,CNS.1,0.782,ML.1,0.825
Sepioteuthis_sepioidea,1,1,1,3,1,-2.47,-1.227,-1.037,-2.457,-0.273,-0.381,0.16,-0.925,-0.224,2.106,1.181,1.237,-0.828,-1.54,0.704,0.805,-0.268,-0.814,-0.242,0.051,CNS.2,NA,ML.2,NA
Sepioteuthis_sepioidea,1,1,1,3,1,-2.47,-1.227,-1.037,-2.457,-0.273,-0.381,0.16,-0.925,-0.224,2.106,1.181,1.237,-0.828,-1.54,0.704,0.805,-0.268,-0.814,-0.242,0.051,CNS.3,NA,ML.3,NA
Spirula_spirula,4,0,0,3,1,0.152,0.819,0.163,0.169,0.705,-0.061,0.16,0.368,0.887,-0.575,NA,NA,-0.127,0.236,0.66,0.817,-0.055,0.444,-0.327,-0.023,CNS.1,-1.008,ML.1,-1.529
Spirula_spirula,4,0,0,3,1,0.152,0.819,0.163,0.169,0.705,-0.061,0.16,0.368,0.887,-0.575,NA,NA,-0.127,0.236,0.66,0.817,-0.055,0.444,-0.327,-0.023,CNS.2,NA,ML.2,NA
Spirula_spirula,4,0,0,3,1,0.152,0.819,0.163,0.169,0.705,-0.061,0.16,0.368,0.887,-0.575,NA,NA,-0.127,0.236,0.66,0.817,-0.055,0.444,-0.327,-0.023,CNS.3,NA,ML.3,NA
Taonius_pavo,3,0,0,1,0,0.617,0.992,0.279,0.758,0.575,NA,NA,NA,NA,-1.666,NA,NA,NA,0.701,0.094,0.233,NA,NA,-0.458,-0.21,CNS.1,0.684,ML.1,2.358
Taonius_pavo,3,0,0,1,0,0.617,0.992,0.279,0.758,0.575,NA,NA,NA,NA,-1.666,NA,NA,NA,0.701,0.094,0.233,NA,NA,-0.458,-0.21,CNS.2,NA,ML.2,NA
Taonius_pavo,3,0,0,1,0,0.617,0.992,0.279,0.758,0.575,NA,NA,NA,NA,-1.666,NA,NA,NA,0.701,0.094,0.233,NA,NA,-0.458,-0.21,CNS.3,NA,ML.3,NA
Teuthowenia_megalops,3,0,0,1,0,0.818,0.738,0.505,0.767,-0.218,0.782,1.138,NA,NA,0.062,NA,NA,NA,0.701,-0.183,-0.114,0.943,NA,1.315,0.515,CNS.1,0.781,ML.1,1.506
Teuthowenia_megalops,3,0,0,1,0,0.818,0.738,0.505,0.767,-0.218,0.782,1.138,NA,NA,0.062,NA,NA,NA,0.701,-0.183,-0.114,0.943,NA,1.315,0.515,CNS.2,NA,ML.2,NA
Teuthowenia_megalops,3,0,0,1,0,0.818,0.738,0.505,0.767,-0.218,0.782,1.138,NA,NA,0.062,NA,NA,NA,0.701,-0.183,-0.114,0.943,NA,1.315,0.515,CNS.3,NA,ML.3,NA
Todarodes_sagittatus,2,1,1,3,1,1.174,-1.227,0.677,1.106,0.642,-0.573,0.159,-0.415,-0.339,NA,NA,NA,0.371,0.701,1.143,1.104,-0.386,-0.553,0.678,0.397,CNS.1,1.583,ML.1,1.614
Todarodes_sagittatus,2,1,1,3,1,1.174,-1.227,0.677,1.106,0.642,-0.573,0.159,-0.415,-0.339,NA,NA,NA,0.371,0.701,1.143,1.104,-0.386,-0.553,0.678,0.397,CNS.2,1.918,ML.2,2.598
Todarodes_sagittatus,2,1,1,3,1,1.174,-1.227,0.677,1.106,0.642,-0.573,0.159,-0.415,-0.339,NA,NA,NA,0.371,0.701,1.143,1.104,-0.386,-0.553,0.678,0.397,CNS.3,NA,ML.3,NA
Todaropsis_eblanae,2,2,1,1,0,0.042,0.676,0.137,0.014,0.776,-0.794,-0.601,NA,NA,NA,NA,NA,0.371,1.061,0.841,0.862,-0.884,NA,-0.118,0.131,CNS.1,1.23,ML.1,0.809
Todaropsis_eblanae,2,2,1,1,0,0.042,0.676,0.137,0.014,0.776,-0.794,-0.601,NA,NA,NA,NA,NA,0.371,1.061,0.841,0.862,-0.884,NA,-0.118,0.131,CNS.2,1.2,ML.2,1.278
Todaropsis_eblanae,2,2,1,1,0,0.042,0.676,0.137,0.014,0.776,-0.794,-0.601,NA,NA,NA,NA,NA,0.371,1.061,0.841,0.862,-0.884,NA,-0.118,0.131,CNS.3,NA,ML.3,NA
Tremoctopus_violaceus,1,0,0,1,0,-0.777,-1.227,-0.241,-0.802,0.445,0.2,1.138,NA,NA,0.515,-0.317,-0.225,0.371,0.236,0.529,0.176,0.588,NA,-0.48,-0.264,CNS.1,0.957,ML.1,-0.071
Tremoctopus_violaceus,1,0,0,1,0,-0.777,-1.227,-0.241,-0.802,0.445,0.2,1.138,NA,NA,0.515,-0.317,-0.225,0.371,0.236,0.529,0.176,0.588,NA,-0.48,-0.264,CNS.2,0.356,ML.2,NA
Tremoctopus_violaceus,1,0,0,1,0,-0.777,-1.227,-0.241,-0.802,0.445,0.2,1.138,NA,NA,0.515,-0.317,-0.225,0.371,0.236,0.529,0.176,0.588,NA,-0.48,-0.264,CNS.3,-0.827,ML.3,-1.488
Vampyroteuthis_infernalis,4,0,0,1,0,0.952,0.881,0.553,0.928,0.717,2.189,1.711,NA,NA,0.866,-0.317,NA,0.757,-0.42,0.551,0.5,2.195,NA,-0.017,0.182,CNS.1,-0.472,ML.1,-0.617
Vampyroteuthis_infernalis,4,0,0,1,0,0.952,0.881,0.553,0.928,0.717,2.189,1.711,NA,NA,0.866,-0.317,NA,0.757,-0.42,0.551,0.5,2.195,NA,-0.017,0.182,CNS.2,-1.016,ML.2,-0.142
Vampyroteuthis_infernalis,4,0,0,1,0,0.952,0.881,0.553,0.928,0.717,2.189,1.711,NA,NA,0.866,-0.317,NA,0.757,-0.42,0.551,0.5,2.195,NA,-0.017,0.182,CNS.3,NA,ML.3,NA
Vitreledonella_richardi,4,0,0,1,0,0.618,0.758,0.408,0.579,1.07,NA,NA,NA,NA,-0.575,NA,-0.957,NA,NA,-0.872,-1.209,NA,NA,-0.349,-0.045,CNS.1,-1.233,ML.1,-0.158
Vitreledonella_richardi,4,0,0,1,0,0.618,0.758,0.408,0.579,1.07,NA,NA,NA,NA,-0.575,NA,-0.957,NA,NA,-0.872,-1.209,NA,NA,-0.349,-0.045,CNS.2,NA,ML.2,NA
Vitreledonella_richardi,4,0,0,1,0,0.618,0.758,0.408,0.579,1.07,NA,NA,NA,NA,-0.575,NA,-0.957,NA,NA,-0.872,-1.209,NA,NA,-0.349,-0.045,CNS.3,NA,ML.3,NA